epoch,mem_available_kib,cached_kib,swap_free_kib
1787922693,4436876,4267980,13582344
1787922698,4434996,4270240,13582344
1787922703,3843404,3299908,13583588
1787922708,3834620,3300056,13583588
1787922713,3805368,3300052,13583588
1787922718,3767204,3300208,13583588
1787922723,3739416,3300252,13583588
1787922728,3746472,3300052,13583592
1787922733,3746672,3300052,13583592
1787922738,3775040,3300052,13583592
1787922743,3762992,3300404,13583592
1787922748,3748756,3300040,13583600
1787922753,3751864,3300124,13583600
1787922758,3760004,3300124,13583696
1787922763,3755076,3300160,13583696
1787922768,3737964,3341344,13583776
1787922773,3711580,3332216,13583776
1787922778,3738256,3337388,13584300
1787922783,3717764,3334316,13584300
1787922788,3752608,3334416,13584300
1787922793,3727616,3352320,13584300
1787922798,3724080,3334688,13584300
1787922803,3727744,3334408,13584300
1787922808,3725352,3334316,13584300
1787922813,3708972,3334668,13584312
1787922818,3730056,3334188,13584312
1787922823,3729940,3334496,13584356
1787922828,3732040,3335324,13584360
1787922833,3801672,3335324,13584360
1787922838,3798160,3335668,13584360
1787922843,3802924,3335388,13584360
1787922848,3823712,3336544,13584360
1787922853,3779860,3336632,13584360
1787922858,3811912,3336608,13584372
1787922863,3772640,3337448,13584380
1787922868,3771820,3337008,13584388
1787922873,3800968,3337008,13584388
1787922878,3769816,3337008,13584392
1787922883,3804388,3337008,13584392
1787922888,3820508,3337060,13584392
1787922893,3796324,3337008,13584392
1787922898,3798696,3337088,13584392
1787922903,3814292,3338488,13584392
1787922908,3828872,3338488,13584392
1787922913,3778928,3338248,13584400
1787922918,3807036,3340484,13584468
1787922923,3788520,3340528,13584468
1787922928,3781144,3340484,13584468
1787922933,3783900,3340708,13584488
1787922938,3792272,3340612,13584488
1787922943,3787672,3342840,13584572
1787922948,3796192,3343004,13584576
1787922953,3776808,3383848,13584596
1787922958,3774612,3342468,13584604
1787922963,3787720,3342840,13584604
1787922968,3805940,3342840,13584604
1787922973,3810468,3343272,13584604
1787922978,3799072,3342840,13584604
1787922983,3768696,3381908,13584604
1787922988,3801424,3342664,13584608
1787922993,3767188,3360336,13588332
1787922998,3771696,3360168,13588344
1787923003,3783836,3360496,13588344
1787923008,3814724,3360496,13588344
1787923013,3761428,3360496,13588344
1787923018,3781176,3360612,13588344
1787923023,3800328,3360624,13588344
1787923028,3796080,3360624,13588344
1787923033,3811188,3360624,13588344
1787923038,3814184,3360008,13588344
1787923043,3788300,3360548,13588344
1787923048,3797888,3389004,13588344
1787923053,3794804,3401340,13588348
1787923058,3789564,3363164,13588348
1787923063,3824836,3360944,13589184
1787923068,3808668,3360664,13589188
1787923073,3775556,3395780,13589188
1787923078,3802176,3373180,13589188
1787923083,3797396,3360640,13589220
1787923088,3797620,3360640,13589272
1787923093,3786456,3360640,13589276
1787923098,3783396,3361360,13589288
1787923103,3773452,3361360,13589288
1787923108,3814312,3361360,13589288
